FeatureID	FeatureType	Contig	Strand	Left End	Right End	Num Intervals	FeatureName	db xref	function	GO biological process	locus tag	MultiFun	name	product	protein id	synonym	alternate product name	EC number	EnteroFam	GO cellular component	GO molecular function	structure	insertion sequence	regulation	molecular interaction	sequence correction	standard name	anticodon	codon recognized	note	comment	mutant phenotype	genetic interaction	transl except	modification	physical properties	evidence	ribosomal slippage	direction	pseudo	No Annotations	
ABE-0000072	CDS	Chromosome	forward	18715	19620	1	nhaR	UniProtKB/Swiss-Prot:P0A9G2	regulator; Transport of small molecules: Cations		b0020		nhaR	DNA-binding transcriptional activator	AAC73131.1	ECK0021 -!- JW0019	transcriptional activator of nhaA		EnteroFam0000072: Trusted threshold=822; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000073	repeat_region	Chromosome	complement	19796	20563	1																	IS1																			
ABE-0000075	CDS	Chromosome	complement	19811	20314	1	insB-1	UniProtKB/Swiss-Prot:P03830	IS, phage, Tn; Transposon-related functions		b0021	extrachromosomal; transposon related	insB-1	IS1 transposase InsAB'	AAC73132.1	insB_1 -!- ECK0022 -!- JW0020 -!- insB																										
ABE-0000078	CDS	Chromosome	complement	20233	20508	1	insA-1	UniProtKB/Swiss-Prot:P0ADH0	IS, phage, Tn; Transposon-related functions		b0022	extrachromosomal; transposon related	insA-1	IS1 repressor protein InsA	AAC73133.1	insA_1 -!- ECK0023 -!- JW0021 -!- insA																										
ABE-0000082	CDS	Chromosome	complement	20815	21078	1	rpsT	UniProtKB/Swiss-Prot:P0A7U7	structural component; Ribosomal proteins - synthesis, modification		b0023		rpsT	30S ribosomal subunit protein S20	AAC73134.1	sups20 -!- ECK0024 -!- JW0022	30S ribosomal subunit protein S20		EnteroFam0000082: Trusted threshold=224.8; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000089	CDS	Chromosome	forward	21181	21399	1	yaaY	UniProtKB/Swiss-Prot:P75620			b0024		yaaY	predicted protein	AAC73135.1	ECK0025 -!- JW5003	orf, hypothetical protein																									
ABE-0000091	CDS	Chromosome	forward	21407	22348	1	ribF	UniProtKB/Swiss-Prot:P0AG40	putative regulator; Not classified		b0025		ribF	bifunctional riboflavin kinase and FAD synthetase	AAC73136.1	ECK0026 -!- JW0023		2.7.1.26 -!- 2.7.7.2	EnteroFam0000091: Trusted threshold=826.2; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000094	CDS	Chromosome	forward	22391	25207	1	ileS	UniProtKB/Swiss-Prot:P00956	enzyme; Aminoacyl tRNA synthetases, tRNA modification		b0026		ileS	isoleucyl-tRNA synthetase	AAC73137.1	ECK0027 -!- JW0024	isoleucine tRNA synthetase	6.1.1.5	EnteroFam0000094: Trusted threshold=2652.7; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000096	CDS	Chromosome	forward	25207	25701	1	lspA	UniProtKB/Swiss-Prot:P00804	enzyme; Protein, peptide secretion		b0027		lspA	prolipoprotein signal peptidase (signal peptidase II)	AAC73138.1	dapB -!- ileS -!- ECK0028 -!- JW0025	prolipoprotein signal peptidase (SPase II)	3.4.23.36	EnteroFam0000096: Trusted threshold=411; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000101	CDS	Chromosome	forward	25826	26275	1	fkpB	UniProtKB/Swiss-Prot:P0AEM0	putative enzyme; Proteins - translation and modification		b0028		fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	AAC73139.1	slpA -!- ECK0029 -!- JW0026		5.2.1.8	EnteroFam0000101: Trusted threshold=333.5; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000103	CDS	Chromosome	forward	26277	27227	1	ispH	UniProtKB/Swiss-Prot:P62623			b0029		ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	AAC73140.1	lytB -!- ECK0030 -!- JW0027		1.17.1.2	EnteroFam0000103: Trusted threshold=884.7; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000109	CDS	Chromosome	forward	27293	28207	1	rihC	UniProtKB/Swiss-Prot:P22564			b0030		rihC	ribonucleoside hydrolase 3	AAC73141.1	yaaF -!- ECK0031 -!- JW0028								expression regulated by dsrA; expression is reduced in strain overexpressing dsrA																		
ABE-0000112	CDS	Chromosome	forward	28374	29195	1	dapB	UniProtKB/Swiss-Prot:P04036	enzyme; Amino acid biosynthesis: Lysine		b0031		dapB	dihydrodipicolinate reductase	AAC73142.1	ECK0032 -!- JW0029	dihydrodipicolinate reductase	1.3.1.26	EnteroFam0000112: Trusted threshold=722.1; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000118	CDS	Chromosome	forward	29651	30799	1	carA	UniProtKB/Swiss-Prot:P0A6F1	enzyme; Pyrimidine ribonucleotide biosynthesis	GO:0006526 arginine biosynthesis -!- GO:0006221 pyrimidine nucleotide biosynthesis	b0032	metabolism; building block biosynthesis; amino acids; arginine -!- metabolism; building block biosynthesis; nucleotide; pyrimidine biosynthesis	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	AAC73143.1	arg+ura -!- cap -!- pyrA -!- ECK0033 -!- JW0030		6.3.5.5	EnteroFam0000118: Trusted threshold=1121.7; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000121	CDS	Chromosome	forward	30817	34038	1	carB	UniProtKB/Swiss-Prot:P00968	enzyme; Pyrimidine ribonucleotide biosynthesis	GO:0006526 arginine biosynthesis -!- GO:0006221 pyrimidine nucleotide biosynthesis	b0033	metabolism; building block biosynthesis; amino acids; arginine -!- metabolism; building block biosynthesis; nucleotide; pyrimidine biosynthesis	carB	carbamoyl-phosphate synthase large subunit	AAC73144.1	arg+ura -!- cap -!- pyrA -!- ECK0034 -!- JW0031		6.3.5.5	EnteroFam0000121: Trusted threshold=3267.3; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000125	CDS	Chromosome	forward	34300	34695	1	caiF	UniProtKB/Swiss-Prot:P0AE58	regulator; Central intermediary metabolism: Pool, multipurpose conversions		b0034		caiF	DNA-binding transcriptional activator	AAC73145.1	ECK0035 -!- JW0033	transcriptional regulator of cai operon																									
ABE-0000128	CDS	Chromosome	complement	34781	35371	1	caiE	UniProtKB/Swiss-Prot:P39206	putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions		b0035		caiE	predicted acyl transferase	AAC73146.1	ECK0036 -!- JW5004	possible synthesis of cofactor for carnitine racemase and dehydratase																									
ABE-0000130	CDS	Chromosome	complement	35377	36270	1	caiD	UniProtKB/Swiss-Prot:P31551	enzyme; Degradation of small molecules: Amines		b0036		caiD	crotonobetainyl CoA hydratase	AAC73147.1	ECK0037 -!- JW0035	carnitine racemase	4.2.1.-																								
ABE-0000133	CDS	Chromosome	complement	36271	37839	1	caiC	UniProtKB/Swiss-Prot:P31552	putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions		b0037		caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase	AAC73148.1	ECK0038 -!- JW0036	probable crotonobetaine/carnitine-CoA ligase	6.2.1.-																								
ABE-0000136	CDS	Chromosome	complement	37898	39115	1	caiB	UniProtKB/Swiss-Prot:P31572	enzyme; Central intermediary metabolism: Pool, multipurpose conversions		b0038		caiB	crotonobetainyl CoA:carnitine CoA transferase	AAC73149.1	ECK0039 -!- JW0037	l-carnitine dehydratase	2.8.3.-																								
ABE-0000139	CDS	Chromosome	complement	39244	40386	1	caiA	UniProtKB/Swiss-Prot:P60584	putative regulator; Central intermediary metabolism: Pool, multipurpose conversions		b0039		caiA	crotonobetaine reductase subunit II, FAD-binding	AAC73150.1	ECK0040 -!- JW0038	probable carnitine operon oxidoreductase	1.3.99.-																								
ABE-0000141	CDS	Chromosome	complement	40417	41931	1	caiT	UniProtKB/Swiss-Prot:P31553	putative transport; Central intermediary metabolism: Pool, multipurpose conversions		b0040		caiT	predicted transporter	AAC73151.1	ECK0041 -!- JW0039	probable carnitine transporter																									
ABE-0000145	CDS	Chromosome	forward	42403	43173	1	fixA	UniProtKB/Swiss-Prot:P60566	putative enzyme; Energy metabolism, carbon: Electron transport		b0041		fixA	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	AAC73152.1	ECK0042 -!- JW0040	probable flavoprotein subunit, carnitine metabolism																									
ABE-0000147	CDS	Chromosome	forward	43188	44129	1	fixB	UniProtKB/Swiss-Prot:P31574	putative enzyme; Energy metabolism, carbon: Electron transport		b0042		fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	AAC73153.1	ECK0043 -!- JW0041	probable flavoprotein subunit, carnitine metabolism																									
ABE-0000149	CDS	Chromosome	forward	44180	45466	1	fixC	UniProtKB/Swiss-Prot:P68644	putative carrier; Energy metabolism, carbon: Electron transport		b0043		fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain	AAC73154.1	ECK0044 -!- JW0042	flavoprotein; electron transport																									
ABE-0000151	CDS	Chromosome	forward	45463	45750	1	fixX	UniProtKB/Swiss-Prot:P68646	putative carrier; Not classified		b0044		fixX	predicted 4Fe-4S ferredoxin-type protein	AAC73155.1	ECK0045 -!- JW0043	putative ferredoxin																									
ABE-0000156	CDS	Chromosome	forward	45807	47138	1	yaaU	UniProtKB/Swiss-Prot:P31679	putative transport; Not classified		b0045		yaaU	predicted transporter	AAC73156.1	ECK0046 -!- JW0044	putative transport protein																									
ABE-0000159	CDS	Chromosome	forward	47246	47776	1	kefF	UniProtKB/Swiss-Prot:P0A754	putative enzyme; Not classified		b0046		kefF	flavoprotein subunit for the KefC potassium efflux system	AAC73157.1	ECK0047 -!- JW0045 -!- yabF	putative NAD(P)H oxidoreductase																									
ABE-0000161	CDS	Chromosome	forward	47769	49631	1	kefC	UniProtKB/Swiss-Prot:P03819	transport; Transport of small molecules: Cations		b0047		kefC	potassium:proton antiporter	AAC73158.1	trkC -!- ECK0048 -!- JW0046	K+ efflux antiporter, glutathione-regulated																									
ABE-0000164	CDS	Chromosome	forward	49823	50302	1	folA	UniProtKB/Swiss-Prot:P0ABQ4	enzyme; Biosynthesis of cofactors, carriers: Folic acid		b0048		folA	dihydrofolate reductase	AAC73159.1	tmrA -!- ECK0049 -!- JW0047	dihydrofolate reductase type I; trimethoprim resistance	1.5.1.3	EnteroFam0000164: Trusted threshold=460.1; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000167	CDS	Chromosome	complement	50380	51222	1	apaH	UniProtKB/Swiss-Prot:P05637	enzyme; Salvage of nucleosides and nucleotides		b0049		apaH	diadenosine tetraphosphatase	AAC73160.1	ECK0050 -!- JW0048		3.6.1.41	EnteroFam0000167: Trusted threshold=775.6; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000169	CDS	Chromosome	complement	51229	51606	1	apaG	UniProtKB/Swiss-Prot:P62672			b0050		apaG	protein associated with Co2+ and Mg2+ efflux	AAC73161.1	ECK0051 -!- JW0049	orf, hypothetical protein		EnteroFam0000169: Trusted threshold=330.9; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000175	CDS	Chromosome	complement	51609	52430	1	ksgA	UniProtKB/Swiss-Prot:P06992	enzyme; Drug/analog sensitivity		b0051		ksgA	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	AAC73162.1	ECK0052 -!- JW0050	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	2.1.1.-	EnteroFam0000175: Trusted threshold=756.1; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000178	CDS	Chromosome	complement	52427	53416	1	pdxA	UniProtKB/Swiss-Prot:P19624	enzyme; Biosynthesis of cofactors, carriers: Pyridoxine		b0052		pdxA	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	AAC73163.1	ECK0053 -!- JW0051	pyridoxine biosynthesis	1.1.1.262	EnteroFam0000178: Trusted threshold=850.6; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000180	CDS	Chromosome	complement	53416	54702	1	surA	UniProtKB/Swiss-Prot:P0ABZ6	phenotype; Not classified		b0053		surA	peptidyl-prolyl cis-trans isomerase (PPIase)	AAC73164.1	ECK0054 -!- JW0052	survival protein	5.2.1.8	EnteroFam0000180: Trusted threshold=1114.5; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000183	CDS	Chromosome	complement	54755	57109	1	imp	UniProtKB/Swiss-Prot:P31554	phenotype; Adaptations, atypical conditions		b0054		imp	exported protein required for envelope biosynthesis and integrity	AAC73165.1	ostA -!- ECK0055 -!- JW0053	organic solvent tolerance		EnteroFam0000183: Trusted threshold=2000.8; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000187	CDS	Chromosome	forward	57364	58179	1	djlA	UniProtKB/Swiss-Prot:P31680	phenotype; Not classified		b0055		djlA	DnaJ-like protein, membrane anchored	AAC73166.1	yabH -!- ECK0056 -!- JW0054			EnteroFam0000187: Trusted threshold=647.5; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0000192	CDS	Chromosome	forward	58474	59124	1	yabP	UniProtKB/Swiss-Prot:P39220			b0056		yabP	predicted protein	AAC73167.1	ECK0057 -!- JW0055	orf, hypothetical protein																									
ABE-0000194	CDS	Chromosome	forward	59121	59279	1	yabQ	UniProtKB/Swiss-Prot:P39221			b0057		yabQ	predicted protein	AAC73168.1	ECK0058 -!- JW0056	orf, hypothetical protein																									
